Company Name,Industry Classification,A/H Price Ratio (%)
CSCL,Industrials,289.54
Sinopec SSC,Energy,279.62
GAC Group,Consumer Goods,273.07
COMEC,Industrials,269.86
SH Electric,Industrials,268.67
CMOC,Materials,255.74
Yanzhou Coal,Energy,251.81
China COSCO,Industrials,224.83
Datang Power,Utilities,214.85
China East Air,Consumer Services,207.44
MCC,Properties & Construction,190.17
China South Air,Consumer Services,188.38
China Oilfield,Energy,186.64
Dongfang Elec,Industrials,185.27
Zoomlion,Industrials,184.98
Jiangxi Copper,Materials,182.71
China Comm Cons,Properties & Construction,180.28
BBMG,Properties & Construction,177.07
China Coal,Energy,173.13
CIMC,Industrials,172.82
Huadian Power,Utilities,172.34
Huaneng Power,Utilities,171.71
Shanghai Pechem,Materials,170.38
Air China,Consumer Services,166.21
Goldwind,Industrials,166.06
ZTE,Information Technology,164.11
China Railway,Properties & Construction,160.56
GreatWall Motor,Consumer Goods,159.95
CHALCO,Materials,158.30
PetroChina,Energy,157.46
Baiyunshan Ph,Consumer Goods,154.40
Zijin Mining,Materials,153.99
CRRC,Industrials,151.65
NCI,Financials,144.18
HTSC,Financials,143.40
China Vanke,Properties & Construction,140.62
CITIC Bank,Financials,138.79
Haitong Sec,Financials,135.53
Angang Steel,Materials,130.38
China Life,Financials,129.84
BYD Company,Consumer Goods,126.14
CEB Bank,Financials,123.29
China Rail Cons,Properties & Construction,121.39
China Shenhua,Energy,119.87
CPIC,Financials,119.74
Minsheng Bank,Financials,119.08
Guangshen Rail,Consumer Services,118.02
GF Sec,Financials,115.48
Tsingtao Brew,Consumer Goods,115.07
Fosun Pharma,Consumer Goods,114.17
Sh Pharma,Consumer Goods,113.46
Bank of China,Financials,111.59
ABC,Financials,110.70
CITIC Sec,Financials,110.62
Bankcomm,Financials,108.93
ICBC,Financials,108.66
CM Bank,Financials,108.13
CCB,Financials,106.08
Sinopec Corp,Energy,101.58
Ping An,Financials,96.82
Weichai Power,Industrials,93.34
Anhui Conch,Properties & Construction,90.79
Fuyao Glass,Consumer Goods,90.12